Gameday,Date,Home,Away,Home_Win,Away_Win,Predicted_Winning_Team
1,2021-08-13,Brentford,Arsenal,21.21,57.58,Arsenal
1,2021-08-14,Burnley,Brighton,12.12,45.45,Brighton
1,2021-08-14,Chelsea,Crystal Palace,100.0,21.21,Chelsea
1,2021-08-14,Everton,Southampton,54.55,18.18,Everton
1,2021-08-14,Leicester City,Wolves,48.48,21.21,Leicester City
1,2021-08-14,Manchester Utd,Leeds United,81.82,30.3,Manchester Utd
1,2021-08-14,Norwich City,Liverpool,0.0,96.97,Liverpool
1,2021-08-14,Watford,Aston Villa,12.12,45.45,Aston Villa
1,2021-08-15,Newcastle Utd,West Ham,12.12,66.67,West Ham
1,2021-08-15,Tottenham,Manchester City,51.52,100.0,Manchester City
2,2021-08-21,Aston Villa,Newcastle Utd,36.36,12.12,Aston Villa
2,2021-08-21,Brighton,Watford,39.39,9.09,Brighton
2,2021-08-21,Crystal Palace,Brentford,15.15,21.21,Brentford
2,2021-08-21,Leeds United,Everton,24.24,60.61,Everton
2,2021-08-21,Liverpool,Burnley,100.0,9.09,Liverpool
2,2021-08-21,Manchester City,Norwich City,100.0,0.0,Manchester City
2,2021-08-22,Arsenal,Chelsea,54.55,96.97,Chelsea
2,2021-08-22,Southampton,Manchester Utd,18.18,87.88,Manchester Utd
2,2021-08-22,Wolves,Tottenham,24.24,54.55,Tottenham
2,2021-08-23,West Ham,Leicester City,69.7,48.48,West Ham
3,2021-08-28,Aston Villa,Brentford,36.36,21.21,Aston Villa
3,2021-08-28,Brighton,Everton,39.39,60.61,Everton
3,2021-08-28,Liverpool,Chelsea,100.0,96.97,Liverpool
3,2021-08-28,Manchester City,Arsenal,100.0,57.58,Manchester City
3,2021-08-28,Newcastle Utd,Southampton,12.12,18.18,Southampton
3,2021-08-28,Norwich City,Leicester City,0.0,48.48,Leicester City
3,2021-08-28,West Ham,Crystal Palace,69.7,21.21,West Ham
3,2021-08-29,Burnley,Leeds United,12.12,30.3,Leeds United
3,2021-08-29,Tottenham,Watford,51.52,9.09,Tottenham
3,2021-08-29,Wolves,Manchester Utd,24.24,87.88,Manchester Utd
4,2021-09-11,Arsenal,Norwich City,54.55,0.0,Arsenal
4,2021-09-11,Brentford,Brighton,21.21,45.45,Brighton
4,2021-09-11,Chelsea,Aston Villa,100.0,45.45,Chelsea
4,2021-09-11,Crystal Palace,Tottenham,15.15,54.55,Tottenham
4,2021-09-11,Leicester City,Manchester City,48.48,100.0,Manchester City
4,2021-09-11,Manchester Utd,Newcastle Utd,81.82,12.12,Manchester Utd
4,2021-09-11,Southampton,West Ham,18.18,66.67,West Ham
4,2021-09-11,Watford,Wolves,12.12,21.21,Wolves
4,2021-09-12,Leeds United,Liverpool,24.24,96.97,Liverpool
4,2021-09-13,Everton,Burnley,54.55,9.09,Everton
5,2021-09-17,Newcastle Utd,Leeds United,12.12,30.3,Leeds United
5,2021-09-18,Aston Villa,Everton,36.36,60.61,Everton
5,2021-09-18,Burnley,Arsenal,12.12,57.58,Arsenal
5,2021-09-18,Liverpool,Crystal Palace,100.0,21.21,Liverpool
5,2021-09-18,Manchester City,Southampton,100.0,18.18,Manchester City
5,2021-09-18,Norwich City,Watford,0.0,9.09,Watford
5,2021-09-18,Wolves,Brentford,24.24,21.21,Wolves
5,2021-09-19,Brighton,Leicester City,39.39,48.48,Leicester City
5,2021-09-19,Tottenham,Chelsea,51.52,96.97,Chelsea
5,2021-09-19,West Ham,Manchester Utd,69.7,87.88,Manchester Utd
6,2021-09-25,Brentford,Liverpool,21.21,96.97,Liverpool
6,2021-09-25,Chelsea,Manchester City,100.0,100.0,Manchester City
6,2021-09-25,Everton,Norwich City,54.55,0.0,Everton
6,2021-09-25,Leeds United,West Ham,24.24,66.67,West Ham
6,2021-09-25,Leicester City,Burnley,48.48,9.09,Leicester City
6,2021-09-25,Manchester Utd,Aston Villa,81.82,45.45,Manchester Utd
6,2021-09-25,Watford,Newcastle Utd,12.12,12.12,Newcastle Utd
6,2021-09-26,Arsenal,Tottenham,54.55,54.55,Tottenham
6,2021-09-26,Southampton,Wolves,18.18,21.21,Wolves
6,2021-09-27,Crystal Palace,Brighton,15.15,45.45,Brighton
7,2021-10-02,Brighton,Arsenal,39.39,57.58,Arsenal
7,2021-10-02,Burnley,Norwich City,12.12,0.0,Burnley
7,2021-10-02,Chelsea,Southampton,100.0,18.18,Chelsea
7,2021-10-02,Crystal Palace,Leicester City,15.15,48.48,Leicester City
7,2021-10-02,Leeds United,Watford,24.24,9.09,Leeds United
7,2021-10-02,Liverpool,Manchester City,100.0,100.0,Manchester City
7,2021-10-02,Manchester Utd,Everton,81.82,60.61,Manchester Utd
7,2021-10-02,Tottenham,Aston Villa,51.52,45.45,Tottenham
7,2021-10-02,West Ham,Brentford,69.7,21.21,West Ham
7,2021-10-02,Wolves,Newcastle Utd,24.24,12.12,Wolves
8,2021-10-16,Arsenal,Crystal Palace,54.55,21.21,Arsenal
8,2021-10-16,Aston Villa,Wolves,36.36,21.21,Aston Villa
8,2021-10-16,Brentford,Chelsea,21.21,96.97,Chelsea
8,2021-10-16,Everton,West Ham,54.55,66.67,West Ham
