,chance_of_playing_next_round,chance_of_playing_this_round,code_x,ep_next,ep_this,event_points,first_name,form,id,news,news_added,now_cost,points_per_game,second_name,selected_by_percent,team_code,total_points,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,influence,creativity,threat,ict_index,influence_rank_type,creativity_rank_type,threat_rank_type,ict_index_rank,ict_index_rank_type,penalties_order,penalties_text,code_y,Club,fullname
0,,,80201,0.5,0.5,0,Bernd,0.0,1,,,48,1.3,Leno,1.2,3,4,0.0,0.8,Leno,270,0,0,0,9,0,0,0,0,0,9,0,79.0,0.0,0.0,7.9,20,55,52,287,20,,,3,Arsenal,Bernd Leno
1,0.0,0.0,115918,0.0,0.0,0,Rúnar Alex,0.0,2,Joined OH Leuven on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.069158Z,40,0.0,Rúnarsson,0.9,3,0,0.0,0.0,Rúnarsson,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,37,18,14,425,37,,,3,Arsenal,Rúnar Rúnarsson
2,0.0,0.0,47431,0.0,0.0,0,Willian,0.0,3,Transferred to Corinthians,2021-08-20T09:30:14.065783Z,63,0.0,Borges Da Silva,0.1,3,0,0.0,0.0,Willian,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,248,248,248,607,248,,,3,Arsenal,Willian Silva
3,100.0,100.0,54694,5.5,5.5,2,Pierre-Emerick,5.0,4,,2021-08-13T14:30:14.477664Z,99,3.7,Aubameyang,2.2,3,22,0.5,2.2,Aubameyang,428,2,0,3,5,0,0,0,0,0,0,4,86.8,68.7,253.0,40.7,15,19,6,40,11,1.0,,3,Arsenal,Pierre-Emerick Aubameyang
4,,,58822,0.7,0.7,0,Cédric,0.2,5,,,43,0.3,Soares,0.2,3,1,0.0,0.2,Cédric,188,0,0,0,7,0,0,0,1,0,0,0,30.8,36.1,1.0,6.8,113,46,118,304,105,,,3,Arsenal,Cédric Soares
5,100.0,100.0,59966,0.7,0.7,1,Alexandre,0.2,6,,2021-08-13T14:30:14.582063Z,83,1.0,Lacazette,1.0,3,2,0.0,0.2,Lacazette,49,0,0,0,1,0,0,0,0,0,0,0,1.8,2.7,0.0,0.4,51,46,85,395,52,2.0,,3,Arsenal,Alexandre Lacazette
6,0.0,0.0,84450,0.0,0.0,0,Granit,0.5,7,Knee injury - Expected back 01 Jan,2021-09-26T22:30:11.256623Z,49,1.0,Xhaka,0.4,3,4,0.1,0.8,Xhaka,295,0,0,0,10,0,0,0,0,1,0,0,42.2,53.2,9.0,10.4,106,85,153,253,117,,,3,Arsenal,Granit Xhaka
7,,,92371,0.5,0.5,0,Pablo,0.0,8,,,43,0.5,Marí,0.1,3,1,0.0,0.2,Marí,180,0,0,0,4,0,0,0,1,0,0,0,55.4,12.3,11.0,7.9,94,92,80,284,97,,,3,Arsenal,Pablo Marí
8,0.0,0.0,98745,0.0,0.0,0,Héctor,0.0,9,Joined Real Betis on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.090880Z,48,0.0,Bellerín,0.3,3,0,0.0,0.0,Bellerín,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,200,200,197,557,200,,,3,Arsenal,Héctor Bellerín
9,,,101184,0.5,0.5,0,Calum,0.0,10,,,43,0.5,Chambers,0.2,3,1,0.0,0.2,Chambers,170,0,0,0,7,0,0,0,0,0,0,0,45.4,17.2,12.0,7.5,105,78,78,292,101,,,3,Arsenal,Calum Chambers
