,Name,position,Club,Fifa_ID,Fpl_ID
0,Pierre-Emerick Aubameyang,Forward,Arsenal,188567,4
1,Kyle Walker,Defender,Manchester City,188377,249
2,Roberto Firmino,Forward,Liverpool,201942,228
3,Wilfred Ndidi,Midfielder,Leicester City,226790,216
4,Riyad Mahrez,Midfielder,Manchester City,204485,254
5,Jamie Vardy,Forward,Leicester City,208830,205
6,Aymeric Laporte,Defender,Manchester City,212218,259
7,Hugo Lloris,Goalkeeper,Tottenham,167948,353
8,Andrew Robertson,Defender,Liverpool,216267,234
9,Trent Alexander-Arnold,Defender,Liverpool,231281,237
10,João Cancelo,Defender,Manchester City,210514,256
11,Rúben Dias,Defender,Manchester City,239818,262
12,Romelu Lukaku,Forward,Chelsea,192505,529
13,Raheem Sterling,Midfielder,Manchester City,202652,255
14,Sadio Mané,Midfielder,Liverpool,208722,230
15,Harry Kane,Forward,Tottenham,202126,357
16,Joel Matip,Defender,Liverpool,197061,224
17,Nick Pope,Goalkeeper,Burnley,203841,112
18,Bernd Leno,Goalkeeper,Arsenal,192563,1
19,Jordan Pickford,Goalkeeper,Everton,204935,170
20,Raúl Jiménez,Forward,Wolves,204838,430
21,John Stones,Defender,Manchester City,203574,252
22,Antonio Rüdiger,Defender,Chelsea,205452,127
23,Gabriel Jesus,Forward,Manchester City,230666,263
24,Mason Mount,Midfielder,Chelsea,233064,138
25,Pierre-Emile Højbjerg,Midfielder,Tottenham,213648,365
26,Jordan Henderson,Midfielder,Liverpool,183711,222
27,Lucas Digne,Defender,Everton,200458,168
28,Thomas Partey,Midfielder,Arsenal,209989,15
29,Emiliano Martínez,Goalkeeper,Aston Villa,202811,30
30,Jack Grealish,Midfielder,Manchester City,206517,33
31,Hakim Ziyech,Midfielder,Chelsea,208670,131
32,Ricardo Pereira,Defender,Leicester City,210243,207
33,Kai Havertz,Midfielder,Chelsea,235790,141
34,Kasper Schmeichel,Goalkeeper,Leicester City,163587,200
35,Phil Foden,Midfielder,Manchester City,237692,265
36,Timo Werner,Forward,Chelsea,212188,134
37,Thiago Silva,Defender,Chelsea,164240,121
38,Kalvin Phillips,Midfielder,Leeds United,224081,191
39,Nicolas Pépé,Midfielder,Arsenal,226110,17
40,Harvey Barnes,Midfielder,Leicester City,234742,215
41,Alphonse Areola,Goalkeeper,West Ham,193105,489
42,Alexandre Lacazette,Forward,Arsenal,193301,6
43,Martin Ødegaard,Midfielder,Arsenal,222665,558
44,Rúben Neves,Midfielder,Wolves,224293,436
45,Pierluigi Gollini,Goalkeeper,Tottenham,211515,486
46,James Maddison,Midfielder,Leicester City,220697,212
47,Diogo Jota,Midfielder,Liverpool,224458,240
48,Reece James,Defender,Chelsea,238074,142
49,Christian Pulisic,Midfielder,Chelsea,227796,137
50,Leon Bailey,Midfielder,Aston Villa,229906,492
51,Cristian Romero,Defender,Tottenham,232488,494
52,Tanguy Ndombele,Midfielder,Tottenham,235569,375
53,Ferran Torres,Midfielder,Manchester City,241461,268
54,Jonny Evans,Defender,Leicester City,169588,201
55,Dominic Calvert-Lewin,Forward,Everton,221479,177
56,Angelo Ogbonna,Defender,West Ham,183855,409
57,Michael Keane,Defender,Everton,207599,169
58,Kieran Tierney,Defender,Arsenal,226491,16
59,Steven Bergwijn,Midfielder,Tottenham,225953,369
60,Nélson Semedo,Defender,Wolves,227928,437
61,Andreas Christensen,Defender,Chelsea,213661,133
62,Bukayo Saka,Midfielder,Arsenal,246669,22
63,Kurt Zouma,Defender,West Ham,204311,128
64,Danny Ings,Forward,Aston Villa,195859,337
65,James Tarkowski,Defender,Burnley,202695,98
66,James Rodríguez,Midfielder,Everton,198710,166
67,James Ward-Prowse,Midfielder,Southampton,205569,341
68,João Moutinho,Midfielder,Wolves,162347,426
69,Aaron Cresswell,Defender,West Ham,189615,411
70,Michail Antonio,Forward,West Ham,190717,413
71,Alex Oxlade-Chamberlain,Midfielder,Liverpool,198784,227
72,Marcos Alonso,Defender,Chelsea,192638,122
73,Granit Xhaka,Midfielder,Arsenal,199503,7
74,Eric Dier,Defender,Tottenham,202335,361
75,Chris Wood,Forward,Burnley,192123,109
76,Willy Boly,Defender,Wolves,202750,428
77,Conor Coady,Defender,Wolves,202048,429
78,Ben Davies,Defender,Tottenham,205923,364
79,José Sá,Goalkeeper,Wolves,212442,475
80,Abdoulaye Doucouré,Midfielder,Everton,208135,173
81,Ben Mee,Defender,Burnley,189682,106
82,Davinson Sánchez,Defender,Tottenham,220793,367
