,Name,position,Club,Fpl_ID,Fifa_ID,id,ep_this,points_per_game,chance_of_playing_this_round,minutes,selected_by_percent,ict_index,clean_sheets,assists,form,value_season,news,news_added,now_cost,soccer_one_ep_this,soccer_one_points_per_game,soccer_one_chance_of_playing_this_round,soccer_one_minutes,soccer_one_selected_by_percent,soccer_one_ict_index,soccer_one_clean_sheets,soccer_one_assists,soccer_one_form,soccer_one_value_season,aggregate
4,João Cancelo,Defender,Manchester City,256,210514,256,7.5,7.56,,630,36.0,38.3,5,2,7.5,8.52,,,6.2,2.911903585983575,1.9746019237557593,,1.2660749771939983,2.659586529774157,2.2770027140369065,2.858396773071459,3.474339973486493,3.0865942598209637,1.9783766613232392,1.606205528460468
5,Rúben Dias,Defender,Manchester City,262,239818,262,5.0,6.72,,630,56.8,31.7,5,1,5.0,7.68,,,6.1,1.592693039972546,1.6052519236287826,,1.2660749771939983,4.505578181319898,1.669188036073567,2.858396773071459,1.5523646690046031,1.7005588409030872,1.663428441458092,1.315252491616145
23,Marcos Alonso,Defender,Chelsea,122,192638,122,5.0,7.8,,535,51.4,46.1,4,1,4.0,7.8,,,6.0,1.592693039972546,2.08013049522061,,0.8470891867174716,4.026330348707061,2.9953291516299454,2.088258782399356,1.5523646690046031,1.1461446733359366,1.7084210442959702,1.288340099377393
104,Shane Duffy,Defender,Brighton,56,192622,56,4.0,6.0,,630,47.8,37.5,3,1,4.5,9.719999999999999,,,4.3,1.0650088215681346,1.2886662092342314,,1.2660749771939983,3.706831793631837,2.203328207617108,1.318120791727253,1.5523646690046031,1.4233517571195118,2.428302689702021,1.1608607083427642
77,Pontus Jansson,Defender,Brentford,76,194201,76,3.5,6.48,,621,17.0,16.8,3,3,4.0,9.96,,,4.6,0.8011667123659287,1.4997233521639324,,1.2263815865172747,0.9733441557660282,0.29700035400481395,1.318120791727253,5.396315277968382,1.1461446733359366,2.5182878953777776,1.0840346285162377
8,Antonio Rüdiger,Defender,Chelsea,127,205452,127,6.8,6.119999999999999,,630,42.4,25.9,4,0,5.8,7.4399999999999995,,,5.8,2.5425246331004865,1.3414304949666562,,1.2660749771939983,3.227583961019,1.1350478645300253,2.088258782399356,-0.36961063547728645,2.1440901749568075,1.5734432357823356,1.0677745348908128
90,Ethan Pinnock,Defender,Brentford,91,238717,91,4.3,6.48,100.0,582,12.6,25.3,3,1,4.8,9.96,,2021-09-25T20:00:13.284165Z,4.6,1.2233140870894579,1.4997233521639324,0.3434147975799546,1.054376893584806,0.5828459217851982,1.0797919847151765,1.318120791727253,1.5523646690046031,1.589676007389657,2.5182878953777776,0.9115654571727012
36,Tyrone Mings,Defender,Aston Villa,38,212419,38,3.5,5.76,100.0,540,15.2,27.1,3,2,3.5,6.96,,2021-08-28T18:30:11.474318Z,5.0,0.8011667123659287,1.1831376377693807,0.3434147975799546,0.8691410704267625,0.8135948782284159,1.2455596241597238,1.318120791727253,3.474339973486493,0.8689375895523611,1.3934728244308232,0.8793489928376497
22,Aaron Cresswell,Defender,West Ham,411,189615,411,3.5,4.44,,630,30.2,37.7,1,1,3.0,5.64,,,5.5,0.8011667123659287,0.6027304947127035,,1.2660749771939983,2.1448388577085176,2.221746834222058,-0.22215518961695283,1.5523646690046031,0.5917305057687858,0.8985541932141631,0.7040751467552717
17,Kieran Tierney,Defender,Arsenal,16,226491,16,5.7,3.9599999999999995,100.0,592,13.8,31.0,3,0,5.2,5.64,,2021-08-22T23:00:07.798838Z,4.9,1.9620719928556343,0.39167335178300217,0.3434147975799546,1.0984806610033877,0.6893454401436064,1.6047228429562428,1.318120791727253,-0.36961063547728645,1.8114416744165174,0.8985541932141631,0.6963010793001768
