,Name,position,Club,Fpl_ID,Fifa_ID,id,ep_this,points_per_game,chance_of_playing_this_round,minutes,threat,selected_by_percent,ict_index,goals_scored,assists,form,value_season,news,news_added,now_cost,soccer_one_ep_this,soccer_one_points_per_game,soccer_one_chance_of_playing_this_round,soccer_one_minutes,soccer_one_threat,soccer_one_selected_by_percent,soccer_one_ict_index,soccer_one_goals_scored,soccer_one_assists,soccer_one_form,soccer_one_value_season,aggregate
11,Michail Antonio,Forward,West Ham,413,190717,413,2.7,9.839999999999998,100.0,538,425.0,91.2,88.2,5,4,2.2,7.319999999999999,,2021-09-11T16:30:15.334343Z,8.0,0.15862879350424192,2.898836982664999,0.3592106040535496,0.8606032994533508,2.586077386717479,3.945569502500131,2.7650868652300664,2.537842200334862,2.8945988319183886,-0.1485755707857103,2.2209500319770865,1.4052552618378962
2,Jamie Vardy,Forward,Leicester City,205,208830,205,7.2,8.28,,620,319.0,28.4,63.9,6,1,7.2,5.52,,,10.5,2.3397747041875663,2.18982839340429,,1.2324960698654823,1.6201298481443087,0.8339178406608464,1.649003331114201,3.2078325412232656,0.26555952586407233,2.487442620573667,1.3307716790793878,1.1437837702744724
3,Romelu Lukaku,Forward,Chelsea,529,192505,529,5.8,5.76,100.0,540,285.0,74.2,55.4,3,0,4.8,3.0,Muscle injury - 75% chance of playing,2021-10-09T18:00:07.822699Z,11.7,1.6611959764194206,1.0445068261369896,0.3592106040535496,0.8696738548292564,1.31029761879065,3.103243415696503,1.258603740991367,1.1978615185580548,-0.6107869094873665,1.2221538887211656,0.08452198502260977,0.7666988346488134
6,Gabriel Jesus,Forward,Manchester City,263,230666,263,4.2,7.08,,499,224.0,15.0,56.7,2,4,4.2,5.76,,,8.6,0.8856774303986833,1.6444371708960517,,0.6837274696231908,0.7544221484796746,0.1699666898862223,1.318311913598389,0.5278711776696513,2.8945988319183886,0.9058317057580405,1.4494621261324143,0.748953777624047
22,Ivan Toney,Forward,Brentford,78,212228,78,4.7,5.28,,630,189.0,30.0,48.4,2,2,5.2,5.88,,,6.3,1.1280269760301638,0.8263503371336944,,1.2778488467450104,0.43547720649796734,0.9131955900070703,0.9370981961843277,0.5278711776696513,1.1419059612155111,1.433035344029916,1.5088073496589276,0.6753077990114825
5,Raúl Jiménez,Forward,Wolves,430,204838,430,5.7,4.44,,630,245.0,12.6,60.0,1,2,5.2,4.2,,,7.5,1.6127260672931247,0.4445764813779278,,1.2778488467450104,0.945789113668699,0.05105006586688658,1.4698788132931357,-0.1421191632187523,1.1419059612155111,1.433035344029916,0.6779742202877423,0.5941777167039467
19,Neal Maupay,Forward,Brighton,63,211784,63,4.3,5.52,100.0,585,180.0,7.4,41.6,4,0,4.8,5.88,,2021-08-21T19:00:12.804729Z,6.5,0.9341473395249793,0.9354285816353418,0.3592106040535496,1.0737613507871335,0.35346279284552834,-0.20660261950834072,0.6247785240860608,1.8678518594464584,-0.6107869094873665,1.2221538887211656,1.5088073496589276,0.5374808507842291
10,Danny Ings,Forward,Aston Villa,337,195859,337,2.8,5.159999999999999,,593,165.0,32.8,32.4,2,2,2.8,4.56,,,7.9,0.20709870263053784,0.7718112148828702,,1.110043572290756,0.21677210342479666,1.0519316513629617,0.2022283794825231,0.5278711776696513,1.1419059612155111,0.16774661217741474,0.8560098908672817,0.41689461773362024
29,Emmanuel Dennis,Forward,Watford,450,239015,450,1.7,4.08,100.0,571,273.0,21.0,49.0,2,1,2.2,5.3999999999999995,,2021-08-14T18:30:10.328920Z,5.3,-0.32607029775871915,0.2809591146254562,0.3592106040535496,1.010267463155794,1.2009450672540647,0.46725824993456155,0.9646558143106454,0.5278711776696513,0.26555952586407233,-0.1485755707857103,1.2714264555528745,0.3915671735917493
0,Pierre-Emerick Aubameyang,Forward,Arsenal,4,188567,4,5.5,4.44,100.0,428,253.0,4.6,40.7,2,0,5.0,2.64,,2021-08-13T14:30:14.477664Z,9.9,1.5157862490405325,0.4445764813779278,0.3592106040535496,0.3617227537785403,1.0186908146930893,-0.3453386808642324,0.5834420968965844,0.5278711776696513,-0.6107869094873665,1.3275946163755408,-0.0935136855569299,0.3392837011984592
