,Name,position,Club,Fpl_ID,Fifa_ID,id,ep_this,points_per_game,chance_of_playing_this_round,selected_by_percent,minutes,threat,ict_index,influence,creativity,assists,form,value_season,news,news_added,now_cost,soccer_one_ep_this,soccer_one_points_per_game,soccer_one_chance_of_playing_this_round,soccer_one_selected_by_percent,soccer_one_minutes,soccer_one_threat,soccer_one_ict_index,soccer_one_influence,soccer_one_creativity,soccer_one_assists,soccer_one_form,soccer_one_value_season,aggregate
44,Saïd Benrahma,Midfielder,West Ham,419,220621,419,5.0,7.56,,74.0,593,216.0,59.3,207.4,168.7,2,4.5,8.04,,,6.6,1.8790980122707865,2.682535134905754,,7.122392385735377,1.343206661715245,1.7665883746311792,2.243334764987887,2.669091676124923,1.683448720233321,2.151304608083361,1.6608965033236645,2.682479338778047,1.7427735112993465
30,Abdoulaye Doucouré,Midfielder,Everton,173,208135,173,7.0,7.319999999999999,,13.0,630,168.0,49.1,224.2,98.4,4,7.0,9.0,,,5.7,3.0507446351237117,2.5455379611873177,,0.8879142751691645,1.5193834976627036,1.1728959422686305,1.657546264853296,2.976878572856636,0.51406146505732,4.856537947589384,3.198763636030761,3.158659103058174,1.5961827063035687
62,Andros Townsend,Midfielder,Everton,482,194932,482,8.5,7.319999999999999,,13.6,519,130.0,53.7,223.8,183.3,2,8.5,9.24,,,5.6,3.9294796022634055,2.5455379611873177,,0.9492370106829303,0.9908529898203275,0.702889433314946,1.9217253923649746,2.969550313410643,1.9263086622755634,2.151304608083361,4.121483915655019,3.2777040441282055,1.5928796208241685
3,Sadio Mané,Midfielder,Liverpool,230,208722,230,6.2,7.08,,5.6,630,450.0,78.9,189.4,150.6,1,6.2,4.08,,,11.9,2.5820859859825416,2.408540787468882,,0.13160053716605016,1.5193834976627036,4.660838982398604,3.368967569168084,2.3393200010552304,1.3823689290713634,0.7986879383303497,2.70664615356449,0.7182378111225244,1.4135423870619264
95,Conor Gallagher,Midfielder,Crystal Palace,144,238216,144,4.0,6.84,100.0,16.2,520,240.0,51.4,145.4,128.5,3,4.0,7.199999999999999,,2021-08-04T10:30:07.874717Z,5.7,1.293274700844324,2.2715436137504463,0.4136510171658814,1.2149688645759165,0.9956145259270156,2.0634345908124536,1.7896358286091352,1.5332114619959814,1.0147521674868738,3.5039212778363726,1.353323076782245,2.265822045032936,1.232072073176224
77,Demarai Gray,Midfielder,Everton,484,220633,484,4.2,6.119999999999999,,38.2,593,194.0,49.4,169.4,129.6,1,4.2,7.4399999999999995,,,5.8,1.4104393631296166,1.8605520925951382,,3.463469166747337,1.343206661715245,1.4944793431316779,1.6747753383866661,1.9729070287555717,1.0330498343530699,0.7986879383303497,1.4763524473988128,2.384866986102968,1.1820491375404032
24,Bukayo Saka,Midfielder,Arsenal,22,246669,22,6.7,4.919999999999999,100.0,22.6,491,210.0,45.6,112.4,135.2,2,6.2,5.52,,2021-08-26T10:30:09.768229Z,6.3,2.874997641695773,1.1755662240029587,0.4136510171658814,1.869078043389421,0.8575299788330615,1.6923768205858607,1.4565404069639754,0.9286300577015446,1.1262015929446147,2.151304608083361,2.70664615356449,1.4325074575427141,1.1678143751546033
8,Jack Grealish,Midfielder,Manchester City,33,206517,33,2.8,4.44,,34.6,585,260.0,64.1,139.6,240.9,1,2.8,3.9599999999999995,,,7.9,0.5902867271325689,0.9015718765660878,,3.0955327536647412,1.3051143728617405,2.3108064376301822,2.5189999415218125,1.4269517000290801,2.884441036360025,0.7986879383303497,0.6151468530828385,0.6587153405875082,1.0691409361104334
37,Jarrod Bowen,Midfielder,West Ham,420,224371,420,5.5,4.44,,1.8,609,225.0,55.4,142.6,187.6,2,5.0,4.919999999999999,,,6.3,2.172009667984018,0.9015718765660878,,-0.25677678775446794,1.419391239422254,1.8779057056991573,2.0193568090540728,1.4819136458740287,1.9978359054797852,2.151304608083361,1.9684699298650836,1.1348951048676348,1.0542423565713135
18,Diogo Jota,Midfielder,Liverpool,240,224458,240,3.8,5.52,,34.6,500,278.0,57.7,155.8,142.4,0,3.8,5.04,,,7.6,1.1761100385590313,1.5180591582990488,,3.0955327536647412,0.9003838037932541,2.5334410997661383,2.1514463728099127,1.7237462075918037,1.2459681397051727,-0.5539287314226619,1.2302937061656771,1.1944175754026511,1.013466882770923
63,Leandro Trossard,Midfielder,Brighton,64,207421,64,4.5,4.68,,2.6,596,200.0,46.9,111.6,157.8,1,5.0,5.04,,,6.4,1.5861863565575554,1.0385690502845233,,-0.17501314040277988,1.3574912700353092,1.5686908971769964,1.5311997256085799,0.913973538809558,1.5021354758319214,0.7986879383303497,1.9684699298650836,1.1944175754026511,0.8303005385937342
31,Pablo Fornals,Midfielder,West Ham,423,226456,423,2.5,4.8,,5.6,613,146.0,47.5,158.6,169.6,1,2.0,5.64,,,6.0,0.41453973370463026,1.1070676371437413,,0.13160053716605016,1.4384373838490065,0.900786910769129,1.5656578726753207,1.7750440237137557,1.6984195385783907,0.7986879383303497,0.1230293706165677,1.49202992807773,0.715331304664042
110,Bryan Mbeumo,Midfielder,Brentford,96,243014,96,4.3,4.68,,3.0,591,184.0,40.1,92.6,123.1,0,4.8,5.88,,,5.5,1.4690216942722627,1.0385690502845233,,-0.13413131672693587,1.3336835895018688,1.3707934197228135,1.1406740588521858,0.5658812151248823,0.9249272574164553,-0.5539287314226619,1.845440559248516,1.6110748691477619,0.6632503540888545
86,Mateusz Klich,Midfielder,Leeds United,186,192955,186,3.0,5.04,100.0,1.4,419,160.0,41.5,109.4,145.3,1,2.5,4.56,,2021-08-29T23:00:12.187455Z,5.5,0.7074513894178616,1.2440648108621772,0.4136510171658814,-0.29765861143031197,0.5146993791515202,1.0739472035415392,1.221076402007914,0.8736681118565958,1.2942074432615087,0.7986879383303497,0.430602797157987,0.9563276932625875,0.5769203484116006
26,James Ward-Prowse,Midfielder,Southampton,341,205569,341,2.0,4.08,100.0,5.4,616,79.0,39.0,152.6,157.9,0,3.0,4.56,Suspended until 30 Oct,2021-10-02T16:00:12.930947Z,6.4,0.121628077991399,0.6960761159884339,0.4136510171658814,0.11115962532812823,1.4527219921690706,0.07209122392973799,1.0775007892298276,1.6651201320238582,1.5037989000924845,-0.5539287314226619,0.7381762236994063,0.9563276932625875,0.5158951912161346
70,Pascal Groß,Midfielder,Brighton,55,190765,55,0.7,4.56,100.0,0.8,443,72.0,41.2,108.4,231.2,2,1.2,3.84,,2021-09-11T17:30:15.909181Z,6.0,-0.6399422268630024,0.9700704634253053,0.4136510171658814,-0.35898134694407796,0.628976245712034,-0.014488922456467044,1.2038473284745437,0.8553474632416129,2.723088883085385,2.151304608083361,-0.3690881118497032,0.5991928700524927,0.5101861419454603
5,Pierre-Emile Højbjerg,Midfielder,Tottenham,365,213648,365,4.0,4.08,,4.2,629,50.0,28.8,165.0,74.1,0,4.0,5.88,,,4.9,1.293274700844324,0.6960761159884339,,-0.011485845699403826,1.5146219615560157,-0.2865979539559686,0.491712289095236,1.8922961748496465,0.10984936974043737,-0.5539287314226619,1.353323076782245,1.6110748691477619,0.5068885016828791
36,Ashley Westwood,Midfielder,Burnley,107,189280,107,2.5,3.84,100.0,0.8,540,59.0,30.2,97.6,144.7,2,2.5,4.2,,2021-08-21T15:30:08.893231Z,5.4,0.41453973370463026,0.5590789422699979,0.4136510171658814,-0.35898134694407796,1.090845248060777,-0.17528062288799068,0.5721146322509643,0.657484458199797,1.2842268976981284,2.151304608083361,0.430602797157987,0.7777602816575403,0.4885841654010623
